t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,est_dist_y,real_dist_y
16.9,42.0692,42,0.49761,0,-0.11323,0,2.29099,2.5,-0.104007,0,0.675004,0.0408848,0.198083,0.275851
17,42.2845,42.5,0.494988,0,-0.120653,0,1.92722,2.5,-0.0919893,0,1.16095,-0.0364589,0.222794,0.2814
17.1,42.4684,42.75,0.506039,0,-0.125726,0,1.86155,2.5,-0.0951818,0,1.52816,0.0143592,0.208914,0.286246
17.2,42.654,42.75,0.516992,0,-0.1306,0,1.88522,2.5,-0.0876136,0,1.68474,0.000452593,0.216927,0.290376
17.3,42.8543,43.25,0.516347,0,-0.139325,0,1.81438,2.5,-0.147639,0,1.98245,0.154756,0.234727,0.29378
17.4,43.0203,43.5,0.523625,0,-0.147381,0,1.72883,2.5,-0.171646,0,2.35576,0.236945,0.231548,0.29645
17.5,43.2018,43.75,0.525475,0,-0.156881,0,2.05472,2.5,-0.114777,0,2.01852,0.0781071,0.260694,0.29838
17.6,43.4036,44,0.531216,0,-0.166052,0,2.12463,2.5,-0.145057,0,1.84046,0.251723,0.234508,0.299563
17.7,43.6116,44,0.517226,0,-0.175361,0,1.94701,2.5,-0.132807,0,2.13479,0.252931,0.238815,0.299998
17.8,43.8192,44.5,0.515252,0,-0.183636,0,2.32457,2.5,-0.0849026,0,1.65125,0.126833,0.261334,0.299682
17.9,44.0521,44.75,0.501878,0,-0.189869,0,2.37632,2.5,-0.0922201,0,1.43221,0.201118,0.258122,0.298618
18,44.2972,45,0.487946,0,-0.196791,0,2.54539,2.5,-0.070302,0,1.07051,0.179483,0.265571,0.296807
18.1,44.5773,45.25,0.456251,0,-0.203712,0,3.25065,2.5,-0.06279,0,-0.691217,0.158453,0.290969,0.294255
18.2,44.8867,45.25,0.416421,0,-0.208871,0,3.02463,2.5,-0.0424541,0,-0.369561,0.15725,0.277745,0.290967
18.3,45.1768,45.75,0.38232,0,-0.212207,0,2.89799,2.5,-0.0117989,0,-0.278681,0.0993505,0.297767,0.286952
18.4,45.4463,46,0.351366,0,-0.213764,0,2.56834,2.5,-0.023709,0,0.126484,0.0748089,0.350364,0.282219
18.5,45.6946,46.25,0.329276,0,-0.214654,0,2.53382,2.5,-0.0248042,0,0.145461,0.0896734,0.360797,0.276781
18.6,45.9629,46.5,0.303321,0,-0.214429,0,2.93111,2.5,0.00415025,0,-0.335533,0.0784494,0.345419,0.270652
18.7,46.2338,46.5,0.27165,0,-0.214133,0,2.81782,2.5,-0.000914393,0,-0.186935,0.171613,0.301387,0.263845
18.8,46.5176,47,0.233571,0,-0.214724,0,2.78088,2.5,-0.0147205,0,-0.0685083,0.269005,0.29961,0.25638
18.9,46.7982,47.25,0.20138,0,-0.215324,0,2.95941,2.5,0.00364272,0,-0.416417,0.146792,0.332924,0.248273
19,47.0728,47.5,0.167356,0,-0.215186,0,2.68852,2.5,0.0221082,0,-0.124866,0.0942424,0.368125,0.239546
19.1,47.338,47.75,0.129061,0,-0.212233,0,2.48144,2.5,0.0304211,0,0.089077,0.107794,0.358943,0.23022
19.2,47.5879,47.75,0.0886883,0,-0.210176,0,2.45676,2.5,0.0338489,0,0.148258,0.164,0.339378,0.220319
19.3,47.8152,48.25,0.0626427,0,-0.206239,0,2.13614,2.5,0.0744593,0,1.02478,0.0861684,0.346975,0.209867
19.4,48.0421,48.5,0.0404621,0,-0.199504,0,2.62799,2.5,0.0824065,0,0.0234153,0.157357,0.29829,0.198891
19.5,48.3072,48.75,0.00416752,0,-0.190182,0,2.66777,2.5,0.123748,0,0.0425533,0.105293,0.280424,0.187417
19.6,48.5723,49,-0.0285118,0,-0.178477,0,2.87265,2.5,0.125575,0,-0.38443,0.115389,0.273868,0.175475
19.7,48.835,49,-0.0573109,0,-0.167404,0,2.6968,2.5,0.138436,0,-0.178691,0.143951,0.242692,0.163095
19.8,49.1056,49.5,-0.0879226,0,-0.150386,0,2.71822,2.5,0.204765,0,-0.198356,-0.0547026,0.234299,0.150306
19.9,49.3673,49.75,-0.1138,0,-0.131712,0,2.54961,2.5,0.194377,0,0.0212123,-0.0203689,0.241846,0.137142
20,49.6063,50,-0.133829,0,-0.115423,0,2.55368,2.5,0.200211,0,-0.000544485,-0.0409198,0.23317,0.123636
20.1,49.8509,50.25,-0.151484,0.00156248,-0.0990925,0.0125,2.25933,2.5,0.188251,0,0.600382,-0.026253,0.244011,0.10982
