t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,noisy_x_meas,noisy_y_meas,x_filtered,y_filtered
0.565,1.24915,1.25,-0.00179408,0,0.000989094,0,2.36272,2.5,0.00810862,0,0.171919,0.0108376,1.20516,-0.116715,1.16171,-0.0453315
0.57,1.2592,1.25,-0.00104814,0,0.00108122,0,2.39373,2.5,0.00784753,0,0.171919,0.0108376,1.20516,-0.116715,1.16171,-0.0453315
0.575,1.2709,1.25,-0.00221033,0,0.000919934,0,2.36933,2.5,0.015963,0,0.171919,0.0108376,1.20516,-0.116715,1.16171,-0.0453315
0.58,1.28328,1.25,-0.000760228,0,0.000926322,0,2.35647,2.5,0.0165993,0,0.171919,0.0108376,1.20516,-0.116715,1.16171,-0.0453315
0.585,1.29496,1.25,-0.000988687,0,0.0010145,0,2.37798,2.5,0.0136838,0,0.171919,0.0108376,1.20516,-0.116715,1.16171,-0.0453315
0.59,1.30869,1.25,-0.0020656,0,0.000862402,0,2.38171,2.5,0.01411,0,0.171919,0.0108376,1.20516,-0.116715,1.16171,-0.0453315
0.595,1.32063,1.25,-0.00259712,0,0.000801182,0,2.42862,2.5,0.00940816,0,0.171919,0.0108376,1.20516,-0.116715,1.16171,-0.0453315
0.6,1.33277,1.25,-0.00185509,0,0.000842219,0,2.49361,2.5,0.0109237,0,-0.0338956,-0.0262945,1.25578,0.101824,1.3682,-0.021909
0.605,1.34487,1.5,-0.00284792,0,0.000812712,0,2.49977,2.5,0.000504413,0,-0.0338956,-0.0262945,1.25578,0.101824,1.3682,-0.021909
0.61,1.35875,1.5,-0.00342802,0,0.000703814,0,2.51909,2.5,-0.00536504,0,-0.0338956,-0.0262945,1.25578,0.101824,1.3682,-0.021909
0.615,1.3712,1.5,-0.00325281,0,0.000641517,0,2.59466,2.5,-0.00973227,0,-0.0338956,-0.0262945,1.25578,0.101824,1.3682,-0.021909
0.62,1.38637,1.5,-0.00329591,0,0.000470606,0,2.4975,2.5,-0.00652205,0,-0.0338956,-0.0262945,1.25578,0.101824,1.3682,-0.021909
0.625,1.39909,1.5,-0.00478321,0,0.000460575,0,2.59645,2.5,-0.00903842,0,-0.0338956,-0.0262945,1.25578,0.101824,1.3682,-0.021909
0.63,1.41387,1.5,-0.00427569,0,0.000597748,0,2.5597,2.5,-0.011647,0,-0.0338956,-0.0262945,1.25578,0.101824,1.3682,-0.021909
0.635,1.42731,1.5,-0.00271706,0,0.000523299,0,2.59527,2.5,-0.0179265,0,-0.0338956,-0.0262945,1.25578,0.101824,1.3682,-0.021909
0.64,1.43895,1.5,-0.00235142,0,0.000333851,0,2.62434,2.5,-0.0181356,0,-0.0338956,-0.0262945,1.25578,0.101824,1.3682,-0.021909
