t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,est_dist_y,real_dist_y
12.8,31.6847,32,-0.528807,0,0.0692072,0,2.47573,2.5,-0.0199777,0,0.173702,0.112066,-0.239161,-0.231829
12.9,31.9195,32.25,-0.536736,0,0.0677883,0,2.1807,2.5,-0.00306671,0,0.684456,0.0589723,-0.214904,-0.222023
13,32.1345,32.5,-0.5486,0,0.0685102,0,2.28712,2.5,0.0274237,0,0.703041,0.0053428,-0.255141,-0.211662
13.1,32.3513,32.75,-0.550595,0,0.0695424,0,2.15854,2.5,0.0202896,0,0.991113,0.0296804,-0.273006,-0.200772
13.2,32.5687,33,-0.56019,0,0.0710416,0,2.15391,2.5,-0.00907845,0,1.12985,0.0974023,-0.258404,-0.18938
13.3,32.7826,33.25,-0.569655,0,0.0698598,0,2.10505,2.5,-0.0140721,0,1.30277,0.150527,-0.310067,-0.177515
13.4,32.9755,33.5,-0.580884,0,0.0681846,0,1.92003,2.5,-0.0144267,0,1.77257,0.153144,-0.280663,-0.165206
13.5,33.1676,33.75,-0.577675,0,0.0677444,0,1.89484,2.5,0.00641191,0,2.0716,0.0628562,-0.241185,-0.152484
13.6,33.3658,34,-0.575254,0,0.0683266,0,2.04547,2.5,0.0151505,0,1.9952,0.0739768,-0.25625,-0.139381
13.7,33.6147,34.25,-0.575156,0,0.0686888,0,2.67617,2.5,-0.00674199,0,0.892562,0.127645,-0.289977,-0.125929
13.8,33.8811,34.5,-0.568871,0,0.0702843,0,2.57931,2.5,0.0250698,0,0.687187,0.0213724,-0.246456,-0.112163
13.9,34.144,34.75,-0.561539,0,0.0727299,0,2.94259,2.5,0.0280288,0,-0.349068,-0.0183034,-0.232316,-0.0981164
14,34.4217,35,-0.554085,0,0.0740129,0,3.00646,2.5,-0.0223933,0,-0.539717,0.13941,-0.222978,-0.0838246
14.1,34.7198,35.25,-0.542107,0,0.0736112,0,3.00732,2.5,0.0104286,0,-0.58416,0.0361603,-0.239173,-0.0693233
14.2,35.0135,35.5,-0.523891,0,0.0759464,0,3.14114,2.5,0.0216913,0,-1.00901,0.0095426,-0.179789,-0.0546488
14.3,35.3255,35.75,-0.510136,0,0.0774513,0,3.25638,2.5,0.00377173,0,-1.43273,0.0340296,-0.159602,-0.0398376
14.4,35.6428,36,-0.489845,0,0.0772857,0,3.2131,2.5,0.0104571,0,-1.5859,-0.0224607,-0.119006,-0.0249268
14.5,35.9357,36.25,-0.468097,0,0.0767482,0,2.92643,2.5,-0.0097578,0,-1.22107,0.00660519,-0.0860411,-0.00995376
14.6,36.2193,36.5,-0.452524,0,0.0773502,0,2.69836,2.5,0.0170159,0,-0.752882,-0.0353641,-0.112412,0.00504417
14.7,36.4795,36.75,-0.424967,0,0.0785627,0,2.70069,2.5,-0.00626607,0,-0.628537,0.00620458,-0.11024,0.0200295
14.8,36.7658,37,-0.408668,0,0.0768982,0,3.04108,2.5,-0.0375183,0,-1.22872,0.0506218,-0.0656473,0.0349648
14.9,37.0563,37.25,-0.381552,0,0.0730737,0,2.88891,2.5,-0.0258726,0,-1.22478,0.0478423,-0.118877,0.0498126
