t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,noisy_x_meas,noisy_y_meas,x_filtered,y_filtered
0.73,1.71249,1.75,-0.00672492,0,-0.00188571,0,2.79369,2.5,-0.0229041,0,-0.260719,0.0708211,1.74011,-0.123638,1.5874,-0.0722465
0.735,1.72652,1.75,-0.00719544,0,-0.00190023,0,2.75036,2.5,-0.0365875,0,-0.260719,0.0708211,1.74011,-0.123638,1.5874,-0.0722465
0.74,1.74078,1.75,-0.00617534,0,-0.00207477,0,2.72498,2.5,-0.0346001,0,-0.260719,0.0708211,1.74011,-0.123638,1.5874,-0.0722465
0.745,1.75539,1.75,-0.00841907,0,-0.00222317,0,2.75487,2.5,-0.0377188,0,-0.260719,0.0708211,1.74011,-0.123638,1.5874,-0.0722465
0.75,1.76821,1.75,-0.00819809,0,-0.00220008,0,2.70705,2.5,-0.0351173,0,-0.260719,0.0708211,1.74011,-0.123638,1.5874,-0.0722465
0.755,1.78138,1.75,-0.00890126,0,-0.00229165,0,2.63573,2.5,-0.0336313,0,-0.260719,0.0708211,1.74011,-0.123638,1.5874,-0.0722465
0.76,1.79475,1.75,-0.00972298,0,-0.0025715,0,2.71526,2.5,-0.0318504,0,-0.260719,0.0708211,1.74011,-0.123638,1.5874,-0.0722465
0.765,1.80775,1.75,-0.0121358,0,-0.00263236,0,2.67796,2.5,-0.0366894,0,-0.260719,0.0708211,1.74011,-0.123638,1.5874,-0.0722465
0.77,1.81958,1.75,-0.0139819,0,-0.00265444,0,2.66745,2.5,-0.0315884,0,-0.260719,0.0708211,1.74011,-0.123638,1.5874,-0.0722465
0.775,1.83341,1.75,-0.0145457,0,-0.0028096,0,2.70319,2.5,-0.037752,0,-0.260719,0.0708211,1.74011,-0.123638,1.5874,-0.0722465
0.78,1.84826,1.75,-0.0153483,0,-0.00293422,0,2.69004,2.5,-0.0328166,0,-0.260719,0.0708211,1.74011,-0.123638,1.5874,-0.0722465
0.785,1.86126,1.75,-0.0140327,0,-0.00305704,0,2.7114,2.5,-0.0314954,0,-0.260719,0.0708211,1.74011,-0.123638,1.5874,-0.0722465
0.79,1.8741,1.75,-0.0118754,0,-0.00320175,0,2.68374,2.5,-0.024867,0,-0.260719,0.0708211,1.74011,-0.123638,1.5874,-0.0722465
0.795,1.88796,1.75,-0.0134319,0,-0.00337757,0,2.58544,2.5,-0.0250769,0,-0.260719,0.0708211,1.74011,-0.123638,1.5874,-0.0722465
0.8,1.90173,2,-0.0134114,0,-0.00340859,0,2.55289,2.5,-0.020523,0,-0.141965,0.144241,1.77041,-0.200675,1.71551,-0.162146
0.805,1.91525,2,-0.0124897,0,-0.00347588,0,2.54091,2.5,-0.0117764,0,-0.141965,0.144241,1.77041,-0.200675,1.71551,-0.162146
0.81,1.92669,2,-0.0141202,0,-0.00342016,0,2.50195,2.5,-0.00793878,0,-0.141965,0.144241,1.77041,-0.200675,1.71551,-0.162146
0.815,1.93887,2,-0.0132874,0,-0.003537,0,2.45519,2.5,-0.00195936,0,-0.141965,0.144241,1.77041,-0.200675,1.71551,-0.162146
0.82,1.95099,2,-0.013734,0,-0.00359629,0,2.43811,2.5,-0.00183532,0,-0.141965,0.144241,1.77041,-0.200675,1.71551,-0.162146
0.825,1.96404,2,-0.0142936,0,-0.00371142,0,2.46795,2.5,-0.00720513,0,-0.141965,0.144241,1.77041,-0.200675,1.71551,-0.162146
0.83,1.97594,2,-0.0140929,0,-0.00362582,0,2.43321,2.5,-0.00581608,0,-0.141965,0.144241,1.77041,-0.200675,1.71551,-0.162146
